text,label,source
@user One day I want to travel with my bestfriend 🌏✈️ DONE DID TRAVELED DA WORLD!! @user ❤️,clean,tweet_eval_irony
@user u simply cant win with @user if it is twitter fight!!! :-P,clean,tweet_eval_irony
Fully charged my #Anker portable charger...it lasted 1/2 an hour.  Awesome #Fail,sarcasm,tweet_eval_irony
#Italy -- #Cabinet #approves #first #planks of #Renzi's #labour #reform. via @user,clean,tweet_eval_irony
ruling party in power#central#state#misusing their power#PM speaking only in foreign parliment#pm to visit out side india during session,clean,tweet_eval_irony
Gareth's polar opposite is a chicken-loving vegetarian 😂🐣  #Bones @user,sarcasm,tweet_eval_irony
Watching creepy shit before bed when alone = bad idea. Is there a spell to turn a French bulldog into a big ass bulldog? #bewareofdog,sarcasm,tweet_eval_irony
i do occupy rent free space in his cranial cavity LOL @user,clean,tweet_eval_irony
Had to take a #PatioPics - snow falling still. This was totally clear when I went to sleep. #WCCO,clean,tweet_eval_irony
"August has the most birthdays, February has the least and most of the serial killers are born in November!||-so dont mess up with me|#nov26",clean,tweet_eval_irony
Lol RT @user Wouldn't surprise me if Soldado bangs in a hatrick and we win 0-3 against Chelsea tonight .. The legend is back,clean,tweet_eval_irony
My husband thinks I'm crazy because I taped my tape dispenser. Hehe. I'm handy like that. ....,sarcasm,tweet_eval_irony
My secret name is lizard squad. I like to ruin people's fun time. Follow and rt to a billion and you'll have fun. #psn  #giveitup,sarcasm,tweet_eval_irony
"Tomorrow's afternoon #NFL sked in #PanamaCity area: WECP 12p #KCvsPIT, 3:25p #INDvsDAL; WPGX 12p #ATLvsNO.",clean,tweet_eval_irony
@user @user I sure hope ev1 vaccinations are up to date! #GoBolts @user @user @user,clean,tweet_eval_irony
Pulis turned down #NUFC cos he wants to spend a load of money on 30 year old journeymen. Parish wouldn't let him & neither would MA. #cpfc,clean,tweet_eval_irony
Sending best wishes to all my coworkers at the 9AM this morning,sarcasm,tweet_eval_irony
@user try having no internet for a month. Now I know how Ethiopians feel.,sarcasm,tweet_eval_irony
"so, sane peoples would talk to themselves in twitter because they can't find other sane humans to talk to. that  #retweet#ifagree",sarcasm,tweet_eval_irony
Thanks @user for connecting. Always look forward to exchange thoughts n ideas with #entrepreneur working on #green n #sustainability,clean,tweet_eval_irony
Seems as if @user wants to endorse me on LinkedIn for  - any thoughts on this from the #OMCchat crowd?,clean,tweet_eval_irony
Love being made fun of,sarcasm,tweet_eval_irony
@user @user @user Oh wow your talking Skype! Cool!,sarcasm,tweet_eval_irony
"he was half of what she deserved, yet he was all that she ever wanted ,,,,",sarcasm,tweet_eval_irony
#Christmas  #been #the #best @ West Monkseaton,clean,tweet_eval_irony
Parking meter obviously forgot to get its own parking ticket.,sarcasm,tweet_eval_irony
About to fuck up this Media exam  #actuallyihopeso,sarcasm,tweet_eval_irony
well today is gonna be a great day 👌,sarcasm,tweet_eval_irony
Heaven help the fool who did her wrong,clean,tweet_eval_irony
"Just bartered for a bottle of rum in best one, and got it down from £18 to £14. Happy Fucking New Year to me!!",clean,tweet_eval_irony
find ONE local PD that reported an 80% drop @user @user @user @user @user @user,clean,tweet_eval_irony
@user @user Money 4 Church|http://t.co/Q2WB7riAvK|SmartPhone APP PAYS you!|See-http://t.co/RDlRuGN0iE |Go 2:,clean,tweet_eval_irony
Well it's always a good time losing at the Bay... @user @user @user,sarcasm,tweet_eval_irony
Welsh devolution? How's this for starters...,clean,tweet_eval_irony
I love when folks call Brady a system QB but are THE BIGGEST Peyton Manning fans. .,sarcasm,tweet_eval_irony
"@user Instead of playing the pompous ""do you know who I am card?"" , how about you actually make an educated rebuttal?",clean,tweet_eval_irony
Kind of love how I got a voicemail from my seat neighbor wondering where I was yet they constantly sell their ticket & I never ask,sarcasm,tweet_eval_irony
I feel a nap in my near future. #NapTime,clean,tweet_eval_irony
#AnalScreen #Exotic Exotic brunette gets her little tight butt nailed right on the office desk,clean,tweet_eval_irony
#sundayfunday #mylove #mermaidlove #newyear2015 @ Rockefeller Center,clean,tweet_eval_irony
The ever so caring @user gets to see the siege ending first. Great journalism.,sarcasm,tweet_eval_irony
@user You truly are my son.,clean,tweet_eval_irony
hmmm. I do wonder why Astec has one fewer employee? #lol,sarcasm,tweet_eval_irony
#Germany -- #ECB's #Weidmann #says #German #2015 #growth #may #be #better #than #expected. via @user,clean,tweet_eval_irony
"Kevin Durant with 23pts on 8-13 shooting, has this nigga been inefficient since he came.",sarcasm,tweet_eval_irony
This chap seems to be a bit of an over sexed out going extrovert ... Must be his overly masculine voice and demeanor.,sarcasm,tweet_eval_irony
"Damit, this fatima bhutto has an instagram account but not pics of her. Some random shit...and then ppl i follow keep posting pics.",sarcasm,tweet_eval_irony
@user so funny lolololol,sarcasm,tweet_eval_irony
@user @user what the hell ever.,clean,tweet_eval_irony
On my lunch break so sleepy😴,clean,tweet_eval_irony
"@user @user More clean OR cleaner, never more cleaner",clean,tweet_eval_irony
"Amen, that's due to them  having respect for themselves.",clean,tweet_eval_irony
Double standards are always a fun thing,sarcasm,tweet_eval_irony
"@user I don't think, I know x",clean,tweet_eval_irony
Now I've written down everything I need to know it seems a lot more manageable.,sarcasm,tweet_eval_irony
35 amazing followers in the last week and there will be more tomorrow. Growing with,clean,tweet_eval_irony
Oversleeping is the bestttt.,sarcasm,tweet_eval_irony
I need a misadventure form because I broke my hand practising and rewriting this english essay 500 times,sarcasm,tweet_eval_irony
@user #NoodleScene anyone? He was so zen there. . Oh! wait! But #deadHenry and #bouncebackAnnie. Silly me! All makes sense now!,sarcasm,tweet_eval_irony
"A strange day so far everyone seems in such a good moodmaybe in actually napping or still drunk ""still time for grumpy to return",sarcasm,tweet_eval_irony
"I love that when a female expresses herself in an emphatic manner, it's always attributed to her menstrual cycle. -Mags  #PMS",sarcasm,tweet_eval_irony
These girls can wake up people from the dead!  #worth #watching,clean,tweet_eval_irony
Travel and tourism this morning.My favourite lesson whoooo,sarcasm,tweet_eval_irony
Remember that one episode Santana wanted to be a dancer but then forgot about it altogether. Good times. Good times. #Glee,sarcasm,tweet_eval_irony
To all u #deadbeatdads ur not worth a hair on our #kids heads.. Tough being a #singlemom but at least my #beautiful #daughter is loved by Me,clean,tweet_eval_irony
Feeling the irony of using  to find people ironically using the work irony wrong. #metahipster,sarcasm,tweet_eval_irony
Aaaaaaaaand we're back in the ER. Hooray for no sleep!,sarcasm,tweet_eval_irony
Just a had a Bruce Springsteen flashback. *shudder* @user @user @user @user @user,clean,tweet_eval_irony
Is Obamacare Slowing Health Care Spending?  via @user,clean,tweet_eval_irony
Sessions!! #why  #scary #canary #sydney #australia by lavin56,clean,tweet_eval_irony
@user Ha! I don't have haters. Just a few misguided souls who thought my mentions were a bulletin board for their issues. ;),sarcasm,tweet_eval_irony
Hiding in plain sight. By #MichaelBeerens (http://t.co/EJaFcMsIrA) #graffiti #streetart,sarcasm,tweet_eval_irony
@user Ooooh only the 'economic' destruction of the country. Now that makes a world of a difference.,sarcasm,tweet_eval_irony
IT'S DEFINITELY NOT FRIDAY. THE REASON IS: It's Tuesday~! Yesterday it was Monday so why should it be Friday.,sarcasm,tweet_eval_irony
Nothing better than getting a snapchat from @user with #the weight playing in the background #sameparents #sametunes,clean,tweet_eval_irony
"Ask Mystic Mona YOUR question! Psychic View, weekdays at 9am (PDT) 347-850-1494 #BlogTalkRadio",clean,tweet_eval_irony
#late night #shopping #bullringbirmingham #sunglasses really? Lol 😁 #sayyes she says xxx,clean,tweet_eval_irony
saturday class wee,sarcasm,tweet_eval_irony
"I have a VERY limited number of press seats available for a Meet Me There screening in Austin on January 21. Hit me up, press types.",clean,tweet_eval_irony
"@user T-Mobile's CEO thinks the Apple Watch is going to be huge <-- I do, too.",clean,tweet_eval_irony
Sailing-|×|#me #selfie #ootd  #cool  #cute #girl #tumblr #black #style #rock #punk #vsco...,clean,tweet_eval_irony
Now gonna enjoy this day with my babies!!✌️,clean,tweet_eval_irony
I love cold winter days cause I never know when my car decides not to start 😑,sarcasm,tweet_eval_irony
This clinical psychology exam is gunna be the main cause of whatever mental disorder I develop,sarcasm,tweet_eval_irony
"@user he hasn't been diagnosed w/ bipolar disorder yet I'm assuming?He needs to ""beat"" his ""hard feeling"" emotions into submission.",sarcasm,tweet_eval_irony
@user Duly noted ;p ;p ;p,clean,tweet_eval_irony
Heaven knows I'm miserable now ... #TheSmiths #girl #old #ohwow #InstaSize  #a #goodmood #weirdpose,clean,tweet_eval_irony
.@BDUTT is at her best when she reports frm 'on the field'. Not that she is bad at studio but on field she is a true story teller.,clean,tweet_eval_irony
@user The only place where you don't wanna sit on the seat that you earned. |#Dancing |#QuiksilverGoesSupersonic,sarcasm,tweet_eval_irony
@user where's me boots happy,clean,tweet_eval_irony
Good morning hank its saturday im starving,clean,tweet_eval_irony
##to#our#countries#special#dedication#to#ma#Syrian#friends#you're#alone#instalisten#by#heart#voice#,clean,tweet_eval_irony
@user Are they going for the very original plans now?,clean,tweet_eval_irony
Erasure by Percival Everett and Pym by Mat Johnson....So there is black literature after the Black Arts Movement  #ChangetheCanon,sarcasm,tweet_eval_irony
What a great person you are.,sarcasm,tweet_eval_irony
It's gonna be a great day 😃,sarcasm,tweet_eval_irony
"@user Oh no, I've tipped Gamergates hand. Now you know our end game!",sarcasm,tweet_eval_irony
Cluck! RT @user Most transparent administration ever sends password-protected documents to Oversight.  #Gruber,sarcasm,tweet_eval_irony
@user @user Ya cause their country is calm and peaceful from Everyone arming themselves,sarcasm,tweet_eval_irony
Its gonna be a loooong day..  but yolo lets have fun 😆,sarcasm,tweet_eval_irony
Reading a Victoria's Secret Fashion Show recap with a plate of French fries in front of me 🍟,sarcasm,tweet_eval_irony
.@Moz @user Woot woot! Whiteboard Friday's are my favorite Friday activity!,clean,tweet_eval_irony
"Why is it so hard for people to cover their mouth when they cough?? Specially old people! Wtf, isn't it common curtesy? #coveryomouf #nasty",clean,tweet_eval_irony
"@user @user The more liberal the city, the more class and intelligence it exudes.",sarcasm,tweet_eval_irony
"@user People who commit crimes, resist cops, or attack cops are endangering their own lives. No respect for law or other people.",clean,tweet_eval_irony
Did #lyntoncrosby invent #CameronMustGo ? Puerile attacks on @user in RW press provoked #webackEd which led to #CameronMustGo,sarcasm,tweet_eval_irony
Love coming to school knowing I have tests all day,sarcasm,tweet_eval_irony
@user wow.. she really touched them with that tweet.,sarcasm,tweet_eval_irony
"Have successfully avoided everything from season 4 - which I've not seen and there's an S5 one, in my timeline.  Thanks Indy!",sarcasm,tweet_eval_irony
Gawd! I love 9am lectures and 4-6pm lectures.,sarcasm,tweet_eval_irony
@user apricots pears and boozy Belgian goodness. A winter warmer.,clean,tweet_eval_irony
Great way to start of the day,sarcasm,tweet_eval_irony
So lakeside was like 7million scavengers  all in 1place #hadfun  #neverboxingdayshoppingagain,sarcasm,tweet_eval_irony
My stomach is a Wonderland for gas inducing bacteria. #blessed,sarcasm,tweet_eval_irony
.@ThatNeilGuy Isn't it great how all those ppl have done a public mea culpa since that didn't happen?,sarcasm,tweet_eval_irony
"Song of the Day: ""The Lights and Buzz"" - Jack's Mannequin.",clean,tweet_eval_irony
Younger siblings are okay. But then they do this irritating thing where they wake you at 5:15 to open presents. And that's just awesome,sarcasm,tweet_eval_irony
Some #tblightning action along the boards at @user in #Tampa #fuji #x30 #boltssocial #bethethunder,clean,tweet_eval_irony
@user I think I'm gonna check your music out later. Thanks☺,clean,tweet_eval_irony
Ouch that hurt 😂,sarcasm,tweet_eval_irony
I love how sometimes I am skipped over so the greeting replies are just towards Odin but not me.,sarcasm,tweet_eval_irony
#Landlord collects #Rent from #HoneyBees in #BeeHive ... #Bee #Honey #ItalianBees,clean,tweet_eval_irony
"May be cold tomorrow, December 28, 2014! A low of -7℃ - dress warm!",clean,tweet_eval_irony
I'm glad the DC Council has it's priorities intact...  #DC,sarcasm,tweet_eval_irony
"If there was no #CFBPlayoff this year, would there really be an argument against #ALAvsOre for a #NationalChampionship? Shouldn't be.",sarcasm,tweet_eval_irony
Love it when your typing at work and a spider comes out from the keyboard and hangs out between your fingers...  🙈,sarcasm,tweet_eval_irony
The last Twolves game I was jacked for was right after the lockout in 2011 vs. OKC (Rubio's 1st game)... I wonder if I when I will again?,clean,tweet_eval_irony
@user looking forward to the time I have to traipse down the stairs to postie with a baby attached to my nipple! 😳,sarcasm,tweet_eval_irony
Currently writing about how I plan to stop procrastinating after leaving the paper untouched all day,sarcasm,tweet_eval_irony
@user what's the rush? His leg is still attached right?  #dr.dabo,sarcasm,tweet_eval_irony
"Dear Manila, I'm with your traffic twin - Bangkok! yahooo  @ Sirat Express way",sarcasm,tweet_eval_irony
@user @user protecting the namesake of a #PalinSpawn,sarcasm,tweet_eval_irony
The ugly truth... #abuse  #enough #words,clean,tweet_eval_irony
Just ordered 10 new pairs of underwear from Victoria Secret 😍 #yay,clean,tweet_eval_irony
@user A lot of ingredients. More specifically.... Like a lot a lot,clean,tweet_eval_irony
"amazing how they are the one doing the ignoring, and think they are set free @user @user @user",clean,tweet_eval_irony
#notcias #eu #europ Conselho Europeu 18-19 Dezembro 2014 - Click here for more up-to-date information on the Euro...,clean,tweet_eval_irony
Ideology in a nutshell - the meaning of life in a sentence for every perspective.,clean,tweet_eval_irony
@user It's not work if you enjoy it #eh,sarcasm,tweet_eval_irony
"Is it wrong of me to not want to read about horrible things in this world, just for one day?",clean,tweet_eval_irony
@user funny,sarcasm,tweet_eval_irony
SmartPhone APP PAYS you!|see- #Verizon #folloback #tcot|Go 2:,clean,tweet_eval_irony
"@user thanks for sharing Mike, your opinion means a lot to us.  #orisit?",sarcasm,tweet_eval_irony
@user @user |Its @user  bcoz he is so #Nasty and loves his  ...||#GoSupersonicQuikr,clean,tweet_eval_irony
Those Amarillo hops make it just right #goldilocks - Drinking a Tour de Fall @ Memphis' Pint & Dram - #photo,clean,tweet_eval_irony
I may need to reread the books but did we ever find out what Draco's Boggart was? @user #HarryPotter #dracomalfoy,clean,tweet_eval_irony
"Everyone has got a selfie stick this year. I've had one for ages, just saying  #mainsteam #TrendSetter",clean,tweet_eval_irony
Oh and it's a positively balmy 7c,sarcasm,tweet_eval_irony
@user it's finally open XD I used a youtube video to help me :) Thanks very much ;),clean,tweet_eval_irony
A whole day at NS w/clients. YAY.,sarcasm,tweet_eval_irony
|| Flattery will get me everywhere  [@TaliaHaleTW],sarcasm,tweet_eval_irony
Late night snuggles with my boy 💜💕,clean,tweet_eval_irony
It was a greaaaat night! ☺️😁,clean,tweet_eval_irony
We buy into liberal individualism and see our individual fate as black people in no way linked to the collective fate-Bell Hooks #Ferguson,clean,tweet_eval_irony
@user fine atm is they Glazed Apple shower gel and perfume it smells amazing!,clean,tweet_eval_irony
chicks be really pimping more then males these days #the#look #yallknowthatsnotcoolright?,clean,tweet_eval_irony
Hummingbirds #Are  #Experts #at #Hovering #After #All: #Background #Motion ...: If the hovering ability of the...,clean,tweet_eval_irony
Good luck today DJ Durkin. It is NOT great to be a Florida gator. | |#fuckUF,sarcasm,tweet_eval_irony
Playing golf all day 'ery day |#PerksOfBeingOld,clean,tweet_eval_irony
Filmmaker and writer Nicole Franklin is on Twitter @user Pls follow. #EConvo #Film #Director,clean,tweet_eval_irony
One from her please *cries*,clean,tweet_eval_irony
"@user @user not playing out in the provinces like, oh, Mississippi.",sarcasm,tweet_eval_irony
"Today stats: 5 followers, 8 unfollowers and followed 2 people via",clean,tweet_eval_irony
"#Legend says if you stand in front of a mirror+say ""I can't even"" 3 times, a girl in #yogapants will appear+give you a pumpkin spice latte.",clean,tweet_eval_irony
Claybo Dawson and I are @user 's #squadgoals 😎,clean,tweet_eval_irony
"@user @user is it bad that after my ""happy Preds won"" 🎉 dance my first thought was Donnie?! 😁🙊",clean,tweet_eval_irony
It's  #cute to be awake right now,clean,tweet_eval_irony
It's 8:46 and I'm ready for bed.,clean,tweet_eval_irony
Buddhism Chant (kids) #Music #Education,clean,tweet_eval_irony
MVP goes to Concordia Wifi.,sarcasm,tweet_eval_irony
@user Warwick Davis is more than twice the man Tony Blair is,sarcasm,tweet_eval_irony
All I wanted was to see you,clean,tweet_eval_irony
Chill #Repost #Dead  #Dominos #Haha 😂💀,clean,tweet_eval_irony
"@user @user I wish son. like I said, twitter, wit on twitter and the magic of photos that are  3D = smoke and mirrors effect.",clean,tweet_eval_irony
It's almost 1am and @user and I are arguing on why the guy is cute or not. Really. This is our lives. Come on were adults.,sarcasm,tweet_eval_irony
I just love the NHS,sarcasm,tweet_eval_irony
"@user he offered it but he made it sure the board refused double 16m in October, all in Rangers interest",sarcasm,tweet_eval_irony
Twitter can be so annoying,clean,tweet_eval_irony
@user Is it on display at any given time at Ryerson?,clean,tweet_eval_irony
@user  When continuationists demand a prooftext for cessationism. / @user beautiful observation,sarcasm,tweet_eval_irony
I just love not being able to sleep..  #sotired,sarcasm,tweet_eval_irony
"@user How do you propose to determine ""sides""? I have both black and white family members. #racewar  #LoveNotWar",sarcasm,tweet_eval_irony
"@user @user Everybody just keeps saying ""Gronk and large contingent of Patriots."" Who else is there with Rob?",clean,tweet_eval_irony
Wow I love having 3 essays due in the next 3 weeks,sarcasm,tweet_eval_irony
Finally 2015 will be a worry free year for me.,sarcasm,tweet_eval_irony
Monday mornings are my fave :),sarcasm,tweet_eval_irony
to be an Ass but ohh Yeaa!!!!,clean,tweet_eval_irony
@user yeah that's it,sarcasm,tweet_eval_irony
"Facebook owner, Mark Zuckerberg, says ""dislike"" to creating a dislike button",clean,tweet_eval_irony
Catching up on the RHOA!!!!#love the drama,clean,tweet_eval_irony
Ummm can I please have @user for Christmas?! Dang he looks great tonight. Why did I not go to this thing tonight?,clean,tweet_eval_irony
", on the Same day, the 50th anniversary of the #FreeSpeechMovement, a brave critic, was abandoned by our conformist #Press.",sarcasm,tweet_eval_irony
#MuslimApologies – 10 Tweets that Explain What Muslims Should be Sorry for!,sarcasm,tweet_eval_irony
Zuckerberg says he wears a grey t-shirt everyday because he doesn't want to waste time on things that don't matter||He runs Facebook||,sarcasm,tweet_eval_irony
"Time to continue cleaning out my closet. Happy, happy, joy, joy.",sarcasm,tweet_eval_irony
"@user So, this Topless Feminist was just looking for someone to love?",sarcasm,tweet_eval_irony
: When the looks that are nurtured by statuesque beauties are nurtured by the skinniest supermodels. #Statuesque=#Skinny #Look,sarcasm,tweet_eval_irony
"Guess its just me, brett and my mom this year. Gotta love my family!",sarcasm,tweet_eval_irony
"@user @user @user @user @user Yes, you are but it also shows your ignorance , and hate.",clean,tweet_eval_irony
"@user feeding your own flesh and blood/making an alley way smell terrible = same, same.  #90ssarcasm #thesun #thingsthatarewrong",sarcasm,tweet_eval_irony
@user You can afford stocks? Teachers make SO MUCH money it's crazy!,sarcasm,tweet_eval_irony
"@user @user The link says ""The requested page could not be found.""||Was the  intentional?",clean,tweet_eval_irony
Montana Of 300 14 - THE BEST Versace Remix IN THE...: this dude goes off,clean,tweet_eval_irony
@user me and you are the only ones that love it 😆🎅🎉🎶,clean,tweet_eval_irony
Don't you love when guys try to give you their number? Keyword TRIED.  #backupoff,sarcasm,tweet_eval_irony
"Dayum, I really got the house to myself while my brother still has school all week 😎",clean,tweet_eval_irony
"@user @user OMG want one, but I have EasyPay Express. This would mean I would only use it to ride PATH.",sarcasm,tweet_eval_irony
"@user ha yeah which is your opinion, which like mine, means nothing ;) they're in.",clean,tweet_eval_irony
I'm knitting a scarf. Yes. Knitting. A scarf. Because manual dexterity and I like knitting. Problems?,clean,tweet_eval_irony
Off to bed can't wait to feel this hangover. |,sarcasm,tweet_eval_irony
.@NSRoadsPolicing @user oh look an Audi driver breaking the law...how strange,sarcasm,tweet_eval_irony
"Here's an ""It's cold and I had to scrape windows so I'm sad"" selfie...gotta love living that hotel life",sarcasm,tweet_eval_irony
@user doesn't get more #indiefilm than #miboxzombie :-),clean,tweet_eval_irony
@user @user we all know how well we did under Erickson.,sarcasm,tweet_eval_irony
@user public hammering the Steelers all week. Juicy.,clean,tweet_eval_irony
#Work#Trains#TheGrind#London#Business#MyHappyFace,sarcasm,tweet_eval_irony
@user yup.. Few weeks in NZ mucking about then some time in Fiji dodging sharks.,clean,tweet_eval_irony
"Quick feet in slow motion ! Never stop loving , knees high , arms moving ! Still a lot more to be done...",clean,tweet_eval_irony
"I never cared for Beyonce, bc I could never get a sense of who she was. Her interviews lacked depth. @user tho....this girl got IT.",clean,tweet_eval_irony
Sarcasm is the only thing i like.  #sarcasticbitch,clean,tweet_eval_irony
Who ever thought moving in the middle of December would be so peaceful?,sarcasm,tweet_eval_irony
Bday lily painting for @user 💜,clean,tweet_eval_irony
Do you use Instagram? Well get 100 free followers at -- No.,clean,tweet_eval_irony
Some people just don't listen..Ah well guess they'll learn the hard way,clean,tweet_eval_irony
One of my favourite things about going to fanshawe is walking to the Z building,sarcasm,tweet_eval_irony
I give people a break 2 say that without my supporting cast that none of my works would of made it is tosh. Did nobody get #Extras,sarcasm,tweet_eval_irony
I was being considerate about this issue N didn't care what I did. But now I'm taking my position back and I don't give a damn wht u think.,clean,tweet_eval_irony
@user @user I can sign you in as my guest....,clean,tweet_eval_irony
It's a comforting thought:every tax payer will b reminded of #OCARE being rammed in2 law when answering questions on 2014 tax forms,sarcasm,tweet_eval_irony
It's currently Fair and 4℃ outside.,clean,tweet_eval_irony
@user did your python tweeter send that?,sarcasm,tweet_eval_irony
"Spiky popularity of the name ""Spike"" in the U.S. RT @user Baby name . #dataviz Source:",sarcasm,tweet_eval_irony
@user |do 4 fans!|http://t.co/TVgJXJy9DH|SmartPhone APP PAYS you & YOUR FANS!!|See-http://t.co/AlppO5hIe5 |Go 2:,clean,tweet_eval_irony
"Off in to town to get a bday prezzy, how rude to have a birthday in Xmas week #BusyBee",clean,tweet_eval_irony
now  in the MALLS! TAKE YEARS OFF YOUR SKIN! SEACRET Minerals from the Dead Sea!!!,clean,tweet_eval_irony
@user Even you have to think the Religious Freedom Restoration Act in Michigan is ridiculous.,clean,tweet_eval_irony
celebs takes drastic measures to look good...  #whoops #CelebrityLeakedPhotos,sarcasm,tweet_eval_irony
